permalink,wineryname,wineryowner,permitnumber,street,city,state,zipcode,county,lat,lng
/AL/LAUDERDALE/FLORENCE/SINGIN-RIVER-BREWING-COMPANY-LLC/,SINGIN' RIVER BREWING COMPANY LLC,SINGIN' RIVER BREWING COMPANY LLC,AL-W-21006,526 E COLLEGE ST,FLORENCE,AL,35630,LAUDERDALE,34.801656,-87.668968
/AL/Baldwin/FOLEY/HOME-BOY-BREWING-COMPANY-&-WINERY/,HOME BOY BREWING COMPANY & WINERY,JOHN W. MCCOMBS JR.,AL-W-21007,17714 W US HIGHWAY 98,FOLEY,AL,36535,Baldwin,30.406163,-87.721903
/AL/Lee/OPELIKA/RED-CLAY-BREWING-COMPANY-LLC/,RED CLAY BREWING COMPANY LLC,RED CLAY BREWING COMPANY LLC,AL-W-21008,704 N RAILROAD AVE,OPELIKA,AL,36801,Lee,32.649271,-85.378794
/AL/Perry/SELMA/LOG-CABIN-VINEYARDS-LLC/,LOG CABIN VINEYARDS LLC,LOG CABIN VINEYARDS LLC,AL-W-21009,12774 HIGHWAY 219,SELMA,AL,36701,Perry,32.464132,-87.092131
/AL/Madison/HUNTSVILLE/SALTY-NUT-WINERY/,SALTY NUT WINERY,SALTY NUT BREWERY LLC,AL-W-21010,2406 CLINTON AVE W,HUNTSVILLE,AL,35805,Madison,34.722568,-86.603739
/AL//BIRMINGHAM/AVONDALE-BREWING-COMPANY-LLC/,AVONDALE BREWING COMPANY LLC,AVONDALE BREWING COMPANY LLC,AL-W-21011,4117 2ND AVE S,BIRMINGHAM,AL,35222,,33.524823,-86.773233
/AL/Tuscaloosa/TUSCALOOSA/BLACK-WARRIOR-BREWING-COMPANY-LLC/,BLACK WARRIOR BREWING COMPANY LLC,BLACK WARRIOR BREWING COMPANY LLC,AL-W-21012,2216 UNIVERSITY BLVD,TUSCALOOSA,AL,35401,Tuscaloosa,33.210775,-87.566375
/AL/Madison/HUNTSVILLE/STRAIGHT-TO-ALE-BRANDS/,STRAIGHT TO ALE BRANDS,STRAIGHT TO ALE BRANDS INC.,AL-W-21013,2610 CLINTON AVE NW,HUNTSVILLE,AL,35805,Madison,34.724626,-86.599191
/AL/Shelby/CHELSEA/CAT-N-BIRD-WINERY/,CAT-N-BIRD WINERY,CAT-N-BIRD WINERY LLC,AL-W-21014,11661 OLD HIGHWAY 280,CHELSEA,AL,35043,Shelby,33.352567,-86.619687
/AL/ALABAMA/LUVERNE/PIPPIN-FAMILY-VINEYARD-AND-WINERY-LLC/,PIPPIN FAMILY VINEYARD AND WINERY LLC,PIPPIN FAMILY VINEYARD AND WINERY LLC,AL-W-21015,3297 LIVE OAK RD,LUVERNE,AL,36049,ALABAMA,31.815711,-86.257025
/AR/FRANKLIN/ALTUS/NEUMEIER-WINERY/,NEUMEIER WINERY,KURT NEUMEIER,AR-W-15000,3406 SWISS FAMILY DR,ALTUS,AR,72821,FRANKLIN,35.45829,-93.751712
/AR/GARLAND/HOT-SPRINGS/THE-WINERY-OF-HOT-SPRINGS/,THE WINERY OF HOT SPRINGS,THE WINERY OF HOT SPRINGS INC.,AR-W-15001,1503 CENTRAL AVE,HOT SPRINGS,AR,71901,GARLAND,34.498619,-93.055788
/AR/CARROLL/EUREKA-SPRINGS/KEELS-CREEK-WINERY/,KEELS CREEK WINERY,E & D ENDEAVORS INC.,AR-W-15002,3185 E VAN BUREN,EUREKA SPRINGS,AR,72632,CARROLL,36.390211,-93.71316
/AR/WHITE/BRADFORD/DEPARTEE-CREEK-WINERY/,DEPARTEE CREEK WINERY,DONLEY GERALD HELMS,AR-W-15006,2610 JACKSON 1,BRADFORD,AR,72020,WHITE,35.457781,-91.459602
/AR/SEBASTIAN/FORT-SMITH/PERNOD-RICARD-USA/,PERNOD RICARD USA,PERNOD RICARD USA BOTTLING LLC,AR-W-15008,7401 STATE HIGHWAY 45 S,FORT SMITH,AR,72916,SEBASTIAN,35.312679,-94.385064
/AR/WASHINGTON/SPRINGDALE/TONTITOWN-WINERY-LLC/,TONTITOWN WINERY LLC,TONTITOWN WINERY LLC,AR-W-15009,335 N BARRINGTON RD,SPRINGDALE,AR,72762,WASHINGTON,36.179853,-94.235093
/AR/CONWAY/HATTIEVILLE/THE-POINT-WINERY/,THE POINT WINERY,POINT REMOVE WINERY LLC.,AR-W-15012,36 HUNT CLUB LN,HATTIEVILLE,AR,72063,CONWAY,35.270949,-92.766955
/AR/CARROLL/EUREKA-SPRINGS/RAILWAY-WINERY/,RAILWAY WINERY,SCHNEIDER ENDEAVORS INC.,AR-W-15013,4937 HIGHWAY 187,EUREKA SPRINGS,AR,72631,CARROLL,36.42646,-93.785221
/AR/WASHINGTON/FAYETTEVILLE/APPLE-BLOSSOM-BREWING-COMPANY/,APPLE BLOSSOM BREWING COMPANY,APPLE BLOSSOM BREWING COMPANY,AR-W-15015,1550 E ZION RD,FAYETTEVILLE,AR,72703,WASHINGTON,36.129698,-94.137232
/AR/Conway/MORRILTON/MOVIE-HOUSE-WINERY/,MOVIE HOUSE WINERY,MOVIE HOUSE WINERY LLC,AR-W-20331,112 E COMMERCE ST,MORRILTON,AR,72110,Conway,35.153552,-92.744131
/AR/Franklin/CHARLESTON/CIRCLE-T-WINERY-&-VINEYARDS/,CIRCLE T WINERY & VINEYARDS,CIRCLE T WINERY & VINEYARDS LLC,AR-W-21001,6831 RIDGE RD,CHARLESTON,AR,72933,Franklin,35.361997,-94.058477
/AR/Pulaski/ROLAND/AN-ENCHANTING-EVENING/,AN ENCHANTING EVENING,AN ENCHANTING EVENING LLC,AR-W-21002,29300 HIGHWAY 300,ROLAND,AR,72135,Pulaski,34.922932,-92.563589
/AR/Pulaski/LITTLE-ROCK/RUSTY-TRACTOR-VINEYARDS/,RUSTY TRACTOR VINEYARDS,RUSTY TRACTOR VINEYARDS LLC,AR-W-21003,1 SUNSET LAKE DR,LITTLE ROCK,AR,72210,Pulaski,34.696312,-92.415726
/AR/GARLAND/HOT-SPRINGS/BARRELS-UNLIMITED-INC/,BARRELS UNLIMITED INC,BARRELS UNLIMITED INC,AR-W-21004,327 OUACHITA AVE,HOT SPRINGS,AR,71901,GARLAND,34.506472,-93.056941
/AR/US/WEST-FORK/BLUE-TURTLE-WINERY-LLC/,BLUE TURTLE WINERY LLC,BLUE TURTLE WINERY LLC,AR-W-21005,19966 BUG SCUFFLE RD,WEST FORK,AR,72774,US,35.808219,-94.331613
/AR/Boone/HARRISON/HUZZAH-RIDGE-WINERY/,HUZZAH RIDGE WINERY,JOHN D. COOPER,AR-W-21006,1800 TRIPLE LN,HARRISON,AR,72601,Boone,36.181718,-93.021767
/AR/pulaski/ROLAND/BOBROOK-FARMS-LLC/,BOBROOK FARMS LLC,BOBROOK FARMS LLC,AR-W-21007,13810 COMBEE LN,ROLAND,AR,72135,pulaski,34.894383,-92.49949
/AR/Franklin/ALTUS/DIONYSUS-WINE-&-BREW-LLC/,DIONYSUS WINE & BREW LLC,DIONYSUS WINE & BREW LLC,AR-W-21008,9017 HIGHWAY 186,ALTUS,AR,72821,Franklin,35.503971,-93.757916
/AR/Washington/SPRINGDALE/SASSAFRAS-SPRINGS-VINEYARD-LLC/,SASSAFRAS SPRINGS VINEYARD LLC,SASSAFRAS SPRINGS VINEYARD LLC,AR-W-21009,6461 E GUY TERRY RD,SPRINGDALE,AR,72764,Washington,36.127508,-94.066625
/AR/Boone/HARRISON/HUZZAH-RIDGE-LLC/,HUZZAH RIDGE LLC,HUZZAH RIDGE LLC,AR-W-21010,504 OLD BELLEFONTE RD,HARRISON,AR,72601,Boone,36.223573,-93.086401
/AR//NORTH-LITTLE-ROCK/RAIMONDO-WINERY-LLC/,RAIMONDO WINERY LLC,RAIMONDO WINERY LLC,AR-W-21011,3021 E BROADWAY ST,NORTH LITTLE ROCK,AR,72114,,34.7557,-92.23254
/AR/Garland/HOT-SPRINGS/SPA-CITY-TROPICAL-WINERY-&-GIFTS/,SPA CITY TROPICAL WINERY & GIFTS,SPA CITY WINE GIRLS INC.,AR-W-21012,258 CENTRAL AVE,HOT SPRINGS,AR,71901,Garland,34.515892,-93.053854
/AR/Saline/ALEXANDER/ARKANSAS-MEADERY/,ARKANSAS MEADERY,ARKANSAS MEADERY LLC,AR-W-21013,2625 NW AVILLA VINCINTAGE RD,ALEXANDER,AR,72002,Saline,34.677555,-92.553475
/AR/LOGAN/PARIS/COWIE-WINE-CELLARS/,COWIE WINE CELLARS,COWIE WINE CELLARS INC.,AR-W-26,101 N CARBON CITY RD,PARIS,AR,72855,LOGAN,35.2988,-93.7921
/AR/FRANKLIN/ALTUS/DBA-CHATEAU-AUX-ARC/,DBA CHATEAU AUX ARC,CHATEAU AUX ARC LLC,AR-W-31,8045 HIGHWAY 186,ALTUS,AR,72821,FRANKLIN,35.478631,-93.742533
/AR/FRANKLIN/ALTUS/POST-WINERY/,POST WINERY,POST WINERY INC.,AR-W-32,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,FRANKLIN,35.448252,-93.760341
/AR/FRANKLIN/ALTUS/MOUNT-BETHEL-WINERY/,MOUNT BETHEL WINERY,EUGENE J. POST,AR-W-33,U. S. HIGHWAY 64 - 3/10 MILES EAST,ALTUS,AR,72821,FRANKLIN,42.055965,-90.309582
/AR/FRANKLIN/WIEDERKEHR-VILLAGE/WIEDERKEHR-WINE-CELLARS/,WIEDERKEHR WINE CELLARS,WIEDERKEHR WINE CELLARS INC.,AR-W-34,3324 SWISS FAMILY DR,WIEDERKEHR VILLAGE,AR,72821,FRANKLIN,35.456966,-93.751641
/AR/FRANKLIN/ALTUS/SAX-WINERY/,SAX WINERY,PAUL J. POST,AR-W-35,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,FRANKLIN,35.448252,-93.760341
/AR/PULASKI/LITTLE-ROCK/ELLEN-GOLDEN-DIRECT-IMPORTER-OF-FRENCH-ANTIQUES-LLC/,ELLEN GOLDEN DIRECT IMPORTER OF FRENCH ANTIQUES LLC,ELLEN GOLDEN DIRECT IMPORTER OF FRENCH ANTIQUES LLC,AR-WS-15000,1916 N FILLMORE ST,LITTLE ROCK,AR,72207,PULASKI,34.769957,-92.337217
/AR/Washington/SPRINGDALE/BLACK-APPLE-CROSSING/,BLACK APPLE CROSSING,STORM BREWERY LLC,AR-WS-21001,321 E EMMA AVE,SPRINGDALE,AR,72764,Washington,36.184774,-94.127325
/AZ/YAVAPAI/CORNVILLE/PAGE-SPRINGS-CELLARS/,PAGE SPRINGS CELLARS,PAGE SPRINGS CELLARS INC.,AZ-W-15000,1500 N PAGE SPRINGS RD,CORNVILLE,AZ,86325,YAVAPAI,34.757882,-111.89502
/AZ/SANTA-CRUZ/ELGIN/RANCHO-ROSSA-VINEYARDS/,RANCHO ROSSA VINEYARDS,CHRISTOPHER CARY HAMILTON,AZ-W-15001,201 CATTLE RANCH LN.,ELGIN,AZ,85611,SANTA CRUZ,31.660313,-110.575592
/AZ/YAVAPAI/CHINO-VALLEY/GRANITE-CREEK-VINEYARDS/,GRANITE CREEK VINEYARDS,ROBIN HOULT,AZ-W-15002,1145 E GRANITE CREEK LN,CHINO VALLEY,AZ,86323,YAVAPAI,34.784018,-112.444586
/AZ/YAVAPAI/COTTONWOOD/FREITAS-VINEYARD/,FREITAS VINEYARD,PARADISE PRODUCE LLC,AZ-W-15003,1575 PARADISE DR,COTTONWOOD,AZ,86326,YAVAPAI,34.711841,-112.022311
/AZ/COCHISE/PEARCE/KEELING-SCHAEFER-VINEYARDS-LLC/,KEELING SCHAEFER VINEYARDS LLC,KEELING SCHAEFER VINEYARDS LLC,AZ-W-15004,10277 E ROCK CREEK LN,PEARCE,AZ,85625,COCHISE,31.89393,-109.475474
/AZ/SANTA-CRUZ/SONOITA/BOSTOCK-WINERY/,BOSTOCK WINERY,BOSTOCK WINERY INC,AZ-W-15007,3248 HIGHWAY 82,SONOITA,AZ,85637,SANTA CRUZ,31.679954,-110.653524
/AZ/YAVAPAI/COTTONWOOD/ALCANTARA-VINEYARDS-&-WINERY/,ALCANTARA VINEYARDS & WINERY,ALCANTARA L.L.C.,AZ-W-15008,3445 S GRAPEVINE WAY,COTTONWOOD,AZ,86326,YAVAPAI,34.674319,-111.945919
/AZ/YAVAPAI/CORNVILLE/JAVELINA-LEAP-VINEYARD-&-WINERY-LLC/,JAVELINA LEAP VINEYARD & WINERY LLC,JAVELINA LEAP VINEYARD & WINERY LLC,AZ-W-15009,1565 PAGE SPRINGS RD,CORNVILLE,AZ,86325,YAVAPAI,34.760418,-111.88795
/AZ/YAVAPAI/CORNVILLE/SYCAMORE-CANYON-WINERY/,SYCAMORE CANYON WINERY,SYCAMORE CANYON WINERY LLC,AZ-W-15010,2620 DANCING APACHE RD,CORNVILLE,AZ,86325,YAVAPAI,34.777397,-111.900363
/AZ/COCHISE/WILLCOX/CORONADO-VINEYARDS/,CORONADO VINEYARDS,CORONADO VINEYARDS INC.,AZ-W-15011,2909 E COUNTRY CLUB DR,WILLCOX,AZ,85643,COCHISE,32.304095,-109.78863
/AZ/MARICOPA/SCOTTSDALE/SU-VINO-WINERY/,SU VINO WINERY,SU VINO WINERY SCOTTSDALE INC.,AZ-W-15012,7035 E MAIN ST,SCOTTSDALE,AZ,85251,MARICOPA,33.492676,-111.930082
/AZ/SANTA-CRUZ/ELGIN/KIEF-JOSHUA-VINEYARD/,KIEF-JOSHUA VINEYARD,MANNING AND MANNING INC.,AZ-W-15013,370 ELGIN RD,ELGIN,AZ,85611,SANTA CRUZ,31.659205,-110.542628
/AZ/SANTA-CRUZ/ELGIN/LIGHTNING-RIDGE-CELLARS-LLC/,LIGHTNING RIDGE CELLARS LLC,LIGHTNING RIDGE CELLARS LLC,AZ-W-15016,2368 HIGHWAY 83,ELGIN,AZ,85611,SANTA CRUZ,31.581799,-110.558771
/AZ/YAVAPAI/CAMP-VERDE/CLEAR-CREEK-VINEYARD-AND-WINERY-LLC/,CLEAR CREEK VINEYARD AND WINERY LLC,CLEAR CREEK VINEYARD AND WINERY LLC,AZ-W-15017,4053 E HIGHWAY 260,CAMP VERDE,AZ,86322,YAVAPAI,34.528868,-111.782685
/AZ/MARICOPA/TEMPE/STUDIO-VINO/,STUDIO VINO,ZEMPER RESERVE LLC,AZ-W-15018,1825 E GUADALUPE RD,TEMPE,AZ,85283,MARICOPA,33.361343,-111.91035
/AZ/SANTA-CRUZ/ELGIN/WILHELM-FAMILY-VINEYARDS/,WILHELM FAMILY VINEYARDS,WILHELM FAMILY VINEYARDS LLC,AZ-W-15019,21 MOUNTAIN RANCH DR,ELGIN,AZ,85611,SANTA CRUZ,31.675902,-110.574443
/AZ/YAVAPAI/CAMP-VERDE/ARIZONA-STRONGHOLD-VINEYARDS-LLC/,ARIZONA STRONGHOLD VINEYARDS LLC,ARIZONA STRONGHOLD VINEYARDS LLC,AZ-W-15021,4700 OLD HIGHWAY 279,CAMP VERDE,AZ,86322,YAVAPAI,34.63489,-111.934099
/AZ/COCHISE/WILLCOX/PILLSBURY-WINE-COMPANY/,PILLSBURY WINE COMPANY,PILLSBURY WINE COMPANY LLC,AZ-W-15022,6450 S BENNETT PL,WILLCOX,AZ,85643,COCHISE,32.12831,-109.709514
/AZ/COCHISE/WILLCOX/ODYSSEY-CELLARS/,ODYSSEY CELLARS,ODYSSEY CELLARS INC.,AZ-W-15023,8401 BELL RANCH RD,WILLCOX,AZ,85643,COCHISE,31.980492,-109.678228
/AZ/MARICOPA/PHOENIX/TOUGH-COUNTRY-WINERY/,TOUGH COUNTRY WINERY,ARRIBA LLC.,AZ-W-15024,6642 S 38TH ST,PHOENIX,AZ,85042,MARICOPA,33.385627,-112.001414
/AZ/YAVAPAI/JEROME/BITTER-CREEK-WINERY/,BITTER CREEK WINERY,JEROME WINERY INC.,AZ-W-15029,240 HULL ST,JEROME,AZ,86331,YAVAPAI,34.751479,-112.115583
/AZ/COCHISE/PEARCE/LAWRENCE-DUNHAM-VINEYARDS/,LAWRENCE DUNHAM VINEYARDS,LAWRENCE DUNHAM VINEYARDS LLC,AZ-W-15031,13922 S KUYKENDALL CUTOFF RD,PEARCE,AZ,85625,COCHISE,31.877239,-109.491343
/AZ/COCHISE/WILLCOX/ROSE-PEAK-VINEYARDS/,ROSE PEAK VINEYARDS,GERALD INC.,AZ-W-15032,17251 W ASH CREEK RD,WILLCOX,AZ,85643,COCHISE,32.513476,-110.134498
/AZ/SANTA-CRUZ/ELGIN/CALLAGHAN-VINEYARDS/,CALLAGHAN VINEYARDS,CALLAGHAN VINEYARDS L.L.C.,AZ-W-15033,336 ELGIN RD,ELGIN,AZ,85611,SANTA CRUZ,31.659459,-110.550258
/AZ/YAVAPAI/ASH-FORK/REUNION-CAMP-JUNIPERWOOD-RANCH-WINERY/,REUNION CAMP JUNIPERWOOD RANCH WINERY,FRANK A. CUDA,AZ-W-15035,7775 W STOCKMAN RD,ASH FORK,AZ,86320,YAVAPAI,35.186511,-112.619752
/AZ/PIMA/TUCSON/SONORAN-DESERT-WINERY/,SONORAN DESERT WINERY,BARBARA CARR AND ROCKY CARR,AZ-W-15036,9385 S WILTBANK RD,TUCSON,AZ,85736,PIMA,32.079796,-111.254865
/AZ/COCHISE/WILLCOX/CARLSON-CREEK-VINEYARD/,CARLSON CREEK VINEYARD,CARLSON CREEK VINEYARD LLC,AZ-W-15037,115 RAILVIEW AVE,WILLCOX,AZ,85643,COCHISE,32.251712,-109.829977
/AZ/YAVAPAI/JEROME/CADUCEUS-CELLARS/,CADUCEUS CELLARS,CADUCEUS CELLARS LLC,AZ-W-15038,103 DUNDEE AVE,JEROME,AZ,86331,YAVAPAI,34.751865,-112.103348
/AZ/COCHISE/WILLCOX/HAMMELMAN-WINES/,HAMMELMAN WINES,HAMMELMAN WINES LLC,AZ-W-15039,130 S HASKELL AVE,WILLCOX,AZ,85643,COCHISE,32.252234,-109.832926
/AZ/SANTA-CRUZ/ELGIN/HANNAHS-HILL-VINEYARD/,HANNAH'S HILL VINEYARD,HANNAH'S HILL ENTERPRISES LLC,AZ-W-15041,3989 HIGHWAY 82,ELGIN,AZ,85611,SANTA CRUZ,31.719006,-110.54251
/AZ/PIMA/VAIL/CHARRON-VINEYARDS-&-WINERY/,CHARRON VINEYARDS & WINERY,CRAIG VINEYARDS LLC,AZ-W-15042,18585 S SONOITA HWY,VAIL,AZ,85641,PIMA,31.913773,-110.659754
/AZ/COCHISE/BENSON/RANCHOMARIA-VINEYARDS/,RANCHOMARIA VINEYARDS,RANCHOMARIA VINEYARDS LLC,AZ-W-15043,13490 S BELL RD,BENSON,AZ,85602,COCHISE,32.010971,-110.506423
/AZ/YUMA/YUMA/YUMAS-MAIN-SQUEEZE/,YUMA'S MAIN SQUEEZE,EARLE'S CUSTOM WINES INC.,AZ-W-15044,251 S MAIN ST,YUMA,AZ,85364,YUMA,32.723352,-114.617623
/AZ/COCONINO/FLAGSTAFF/KIND-VINES/,KIND VINES,SUSTAINABLE PACKAGING SOLUTIONS LLC,AZ-W-15045,2225 N GEMINI DR,FLAGSTAFF,AZ,86001,COCONINO,35.214357,-111.633039
/AZ/GILA/YOUNG/PLEASANT-VALLEY-WINERY/,PLEASANT VALLEY WINERY,MARIE PETROFF,AZ-W-15046,3023 WALNUT CREEK RD,YOUNG,AZ,85554,GILA,34.108966,-111.031035
/AZ/YAVAPAI/PRESCOTT/SUPERSTITION-MEADERY/,SUPERSTITION MEADERY,SUPERSTITION MEADERY LLC,AZ-W-15049,6678 INTER CAL WAY,PRESCOTT,AZ,86301,YAVAPAI,34.540024,-112.468502
/AZ/COCHISE/TOMBSTONE/SILVER-STRIKE-WINERY/,SILVER STRIKE WINERY,SILVER STRIKE WINERY LLC,AZ-W-15050,334 E ALLEN ST,TOMBSTONE,AZ,85638,COCHISE,31.712908,-110.067574
/AZ/COCHISE/MC-NEAL/HOFMANN-VINEYARDS/,HOFMANN VINEYARDS,HOFMANN ESTATE VINEYARDS AND WINERY LLC,AZ-W-15053,9399 N HIGH LONESOME RD,MC NEAL,AZ,85617,COCHISE,31.589765,-109.825428
/AZ/YAVAPAI/PAULDEN/DEL-RIO-SPRINGS-VINEYARD/,DEL RIO SPRINGS VINEYARD,DEL RIO SPRINGS VINEYARD LLP,AZ-W-15054,974 N GRANDVIEW,PAULDEN,AZ,86334,YAVAPAI,34.862051,-112.483681
